"filename", "language", "Python", "Ini", "JSON", "Markdown", "YAML", "Properties", "comment", "blank", "total"
"d:\projetos\sd-gen-backend\mongo\functions\model_functions.py", "Python", 52, 0, 0, 0, 0, 0, 45, 4, 101
"d:\projetos\sd-gen-backend\mongo\functions\permission_functions.py", "Python", 34, 0, 0, 0, 0, 0, 0, 5, 39
"d:\projetos\sd-gen-backend\mongo\functions\plan_functions.py", "Python", 103, 0, 0, 0, 0, 0, 0, 12, 115
"d:\projetos\sd-gen-backend\mongo\functions\role_functions.py", "Python", 80, 0, 0, 0, 0, 0, 0, 8, 88
"d:\projetos\sd-gen-backend\mongo\functions\user_folder_functions.py", "Python", 85, 0, 0, 0, 0, 0, 0, 8, 93
"d:\projetos\sd-gen-backend\mongo\functions\user_functions.py", "Python", 204, 0, 0, 0, 0, 0, 1, 25, 230
"d:\projetos\sd-gen-backend\mongo\functions\user_image_functions.py", "Python", 57, 0, 0, 0, 0, 0, 0, 5, 62
"d:\projetos\sd-gen-backend\mongo\functions\user_model_functions.py", "Python", 27, 0, 0, 0, 0, 0, 1, 9, 37
"d:\projetos\sd-gen-backend\mongo\models\folder_model.py", "Python", 54, 0, 0, 0, 0, 0, 0, 7, 61
"d:\projetos\sd-gen-backend\mongo\models\image_model.py", "Python", 139, 0, 0, 0, 0, 0, 0, 11, 150
"d:\projetos\sd-gen-backend\mongo\models\model_model.py", "Python", 32, 0, 0, 0, 0, 0, 0, 4, 36
"d:\projetos\sd-gen-backend\mongo\models\permission_model.py", "Python", 19, 0, 0, 0, 0, 0, 0, 3, 22
"d:\projetos\sd-gen-backend\mongo\models\plan_model.py", "Python", 37, 0, 0, 0, 0, 0, 0, 6, 43
"d:\projetos\sd-gen-backend\mongo\models\role_model.py", "Python", 25, 0, 0, 0, 0, 0, 0, 5, 30
"d:\projetos\sd-gen-backend\mongo\models\user_model.py", "Python", 83, 0, 0, 0, 0, 0, 0, 14, 97
"d:\projetos\sd-gen-backend\mongo\mongo_core.py", "Python", 181, 0, 0, 0, 0, 0, 3, 28, 212
"d:\projetos\sd-gen-backend\mongo\mongo_data.py", "Python", 227, 0, 0, 0, 0, 0, 1, 18, 246
"d:\projetos\sd-gen-backend\package-lock.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 1, 7
"d:\projetos\sd-gen-backend\redis_core.py", "Python", 147, 0, 0, 0, 0, 0, 0, 14, 161
"d:\projetos\sd-gen-backend\sd_automatic\automatic_core.py", "Python", 12, 0, 0, 0, 0, 0, 0, 4, 16
"d:\projetos\sd-gen-backend\sd_comfy\comfy_core.py", "Python", 96, 0, 0, 0, 0, 0, 1, 13, 110
"d:\projetos\sd-gen-backend\sd_comfy\comfy_sd15.py", "Python", 66, 0, 0, 0, 0, 0, 215, 7, 288
"d:\projetos\sd-gen-backend\sd_comfy\comfy_sdxl.py", "Python", 62, 0, 0, 0, 0, 0, 242, 9, 313
"Total", "-", 1134, 10, 7, 126, 14, 33, 585, 208, 2117
